subject_id,technique,density,trial_id,randObjIdx,successful_selections,total_attempts,trial_time
subDrlAVIOLA,OhMiniMap,1,1,30,1,1,2.203035
subDrlAVIOLA,OhMiniMap,1,2,20,1,1,1.686331
subDrlAVIOLA,OhMiniMap,1,3,1,1,1,1.231245
subDrlAVIOLA,OhMiniMap,1,4,15,1,1,1.56888
subDrlAVIOLA,OhMiniMap,1,5,30,1,1,1.166128
subDrlAVIOLA,OhMiniMap,2,1,72,1,1,2.311928
subDrlAVIOLA,OhMiniMap,2,2,65,1,1,1.451946
subDrlAVIOLA,OhMiniMap,2,3,79,1,1,1.319511
subDrlAVIOLA,OhMiniMap,2,4,24,1,1,1.901283
subDrlAVIOLA,OhMiniMap,2,5,81,1,1,1.270489
subDrlAVIOLA,OhMiniMap,3,1,18,1,1,1.979248
subDrlAVIOLA,OhMiniMap,3,2,296,1,1,1.361843
subDrlAVIOLA,OhMiniMap,3,3,259,1,1,1.821297
subDrlAVIOLA,OhMiniMap,3,4,171,1,1,1.848148
subDrlAVIOLA,OhMiniMap,3,5,120,1,1,1.926224
subDrlAVIOLA,RayKebab,1,1,30,1,1,1.810318
subDrlAVIOLA,RayKebab,1,2,20,1,2,2.394432
subDrlAVIOLA,RayKebab,1,3,1,1,1,2.895821
subDrlAVIOLA,RayKebab,1,4,15,1,1,2.909485
subDrlAVIOLA,RayKebab,1,5,30,1,1,2.853958
subDrlAVIOLA,RayKebab,2,1,72,1,2,2.965546
subDrlAVIOLA,RayKebab,2,2,65,1,1,2.59642
subDrlAVIOLA,RayKebab,2,3,79,1,1,2.88501
subDrlAVIOLA,RayKebab,2,4,24,1,1,3.751419
subDrlAVIOLA,RayKebab,2,5,81,1,1,2.035965
subDrlAVIOLA,RayKebab,3,1,18,1,1,1.308365
subDrlAVIOLA,RayKebab,3,2,296,1,1,2.17215
subDrlAVIOLA,RayKebab,3,3,259,1,1,2.474426
subDrlAVIOLA,RayKebab,3,4,171,1,1,2.985748
subDrlAVIOLA,RayKebab,3,5,120,1,1,4.736984
